At clock#           1 :, LA = xxx, LB = xxx, RA = x, PA = 0, PB = 0
At clock#           2 :, LA = xxx, LB = xxx, RA = x, PA = 0, PB = 0
At clock#           2 :, LA = xx0, LB = xx0, RA = x, PA = 0, PB = 0
At clock#           2 :, LA = xx0, LB = xx0, RA = 0, PA = 0, PB = 0
At clock#           2 :, LA = xx0, LB = 0x0, RA = 0, PA = 0, PB = 0
At clock#           2 :, LA = x00, LB = 0x0, RA = 0, PA = 0, PB = 0
At clock#           2 :, LA = 000, LB = 0x0, RA = 0, PA = 0, PB = 0
At clock#           2 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#           3 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#           4 :, LA = 000, LB = 000, RA = 0, PA = 0, PB = 0
At clock#           4 :, LA = 000, LB = 000, RA = 1, PA = 0, PB = 0
At clock#           4 :, LA = 001, LB = 001, RA = 1, PA = 0, PB = 0
At clock#           4 :, LA = 001, LB = 101, RA = 1, PA = 0, PB = 0
At clock#           4 :, LA = 011, LB = 101, RA = 1, PA = 0, PB = 0
At clock#           4 :, LA = 111, LB = 101, RA = 1, PA = 0, PB = 0
At clock#           4 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#           5 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#           6 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#           7 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#           8 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#           9 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#          10 :, LA = 111, LB = 111, RA = 1, PA = 0, PB = 0
At clock#          10 :, LA = 110, LB = 111, RA = 1, PA = 0, PB = 0
At clock#          10 :, LA = 110, LB = 111, RA = 0, PA = 0, PB = 0
At clock#          10 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          11 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          12 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          13 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          14 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          15 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          16 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          17 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          18 :, LA = 110, LB = 011, RA = 0, PA = 0, PB = 0
At clock#          18 :, LA = 110, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          18 :, LA = 100, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          18 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          19 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
At clock#          20 :, LA = 101, LB = 010, RA = 0, PA = 0, PB = 0
